"racename","driver","qualrawdcoef","qualprednvalid"
"2010germany","ffauzy",NA,0
"2010hungary","svettel",78.773,1
"2010hungary","nhulkenberg",81.545,2.233
"2010hungary","jbutton",81.418,0.678
"2010hungary","rbarrichello",81.457,1
"2010hungary","asutil",81.688,1.178
"2010hungary","mschumacher",81.756,1
"2010hungary","sbuemi",81.934,2
"2010hungary","vliuzzi",81.852,2
"2010hungary","jalguersuari",81.982,2
"2010hungary","tglock",83.913,1
"2010hungary","hkovalainen",83.983,1
"2010hungary","mwebber",79.184,1
"2010hungary","jtrulli",84.062,1
"2010hungary","ldigrassi",84.981,1
"2010hungary","bsenna",86.254,1
"2010hungary","kkobayashi",82.085,1
"2010hungary","syamamoto",86.316,1
"2010hungary","falonso",80.018,1.089
"2010hungary","fmassa",80.616,1.778
"2010hungary","lhamilton",80.545,1.1
"2010hungary","nrosberg",81.009,2
"2010hungary","vpetrov",81.162,2.667
"2010hungary","rkubica",81.16,2
"2010hungary","pdelarosa",81.521,3
"2010hungary","pdiresta",NA,0
"2010belgium","mwebber",105.778,1
"2010belgium","falonso",107.432,1.011
"2010belgium","jalguersuari",107.358,1
"2010belgium","vliuzzi",107.771,1
"2010belgium","hkovalainen",110.071,1
"2010belgium","nrosberg",106.976,1
"2010belgium","jtrulli",NA,0
"2010belgium","sbuemi",108.3,1
"2010belgium","kkobayashi",NA,0
"2010belgium","bsenna",NA,0
"2010belgium","syamamoto",NA,0
"2010belgium","lhamilton",105.845,1.033
"2010belgium","tglock",111.14,1
"2010belgium","mschumacher",106.965,1
"2010belgium","ldigrassi",NA,0
"2010belgium","vpetrov",NA,0
"2010belgium","pdelarosa",NA,0
"2010belgium","rkubica",106.256,2
"2010belgium","svettel",106.127,1
"2010belgium","jbutton",106.108,1.433
"2010belgium","fmassa",106.349,1.544
"2010belgium","rbarrichello",106.745,2
"2010belgium","asutil",106.521,2
"2010belgium","nhulkenberg",106.983,2
"2010italy","falonso",81.982,1.067
"2010italy","rbarrichello",83.23,2
"2010italy","asutil",83.188,1
"2010italy","mschumacher",83.377,1
"2010italy","kkobayashi",83.648,1
"2010italy","sbuemi",83.67,1
"2010italy","jalguersuari",83.908,1
"2010italy","pdelarosa",84.033,1
"2010italy","jtrulli",85.54,1
"2010italy","hkovalainen",85.742,1
"2010italy","vliuzzi",NA,0
"2010italy","jbutton",82.169,1.489
"2010italy","vpetrov",83.808,1
"2010italy","ldigrassi",85.974,1
"2010italy","bsenna",86.847,1
"2010italy","syamamoto",87.02,1
"2010italy","tglock",85.934,1
"2010italy","fmassa",82.418,1.689
"2010italy","mwebber",82.433,1
"2010italy","lhamilton",82.597,1.122
"2010italy","svettel",82.675,1
"2010italy","nrosberg",83.036,2
"2010italy","nhulkenberg",83.008,2
"2010italy","rkubica",82.954,2
"2010italy","pdiresta",NA,0
"2010singapore","falonso",105.39,1
"2010singapore","kkobayashi",107.566,2
"2010singapore","jalguersuari",107.315,1
"2010singapore","vpetrov",107.814,1
"2010singapore","sbuemi",108.151,1
"2010singapore","nheidfeld",108.206,1
"2010singapore","asutil",108.548,1
"2010singapore","vliuzzi",108.61,1
"2010singapore","nhulkenberg",107.323,1
"2010singapore","tglock",110.721,1
"2010singapore","hkovalainen",110.915,1
"2010singapore","svettel",105.457,1
"2010singapore","ldigrassi",111.107,1
"2010singapore","jtrulli",111.641,1
"2010singapore","cklien",112.946,1
"2010singapore","bsenna",114.174,1
"2010singapore","fmassa",NA,0
"2010singapore","lhamilton",105.571,1
"2010singapore","jbutton",105.995,1.356
"2010singapore","mwebber",105.977,1
"2010singapore","rbarrichello",106.452,2
"2010singapore","nrosberg",106.438,2
"2010singapore","rkubica",106.595,1.878
"2010singapore","mschumacher",106.756,2
"2010singapore","jdambrosio",NA,0
"2010singapore","ffauzy",NA,0
"2010japan","svettel",90.785,1
"2010japan","mschumacher",91.751,2
"2010japan","nheidfeld",91.931,1.6
"2010japan","fmassa",91.904,1
"2010japan","vpetrov",92.018,1.656
"2010japan","kkobayashi",91.994,1.722
"2010japan","asutil",92.264,1.2
"2010japan","jalguersuari",92.657,2
"2010japan","vliuzzi",92.571,2
"2010japan","sbuemi",92.758,1
"2010japan","jtrulli",94.536,1
"2010japan","mwebber",90.853,1
"2010japan","hkovalainen",94.654,1
"2010japan","ldigrassi",95.455,1
"2010japan","tglock",95.522,1
"2010japan","bsenna",96.46,1
"2010japan","syamamoto",96.555,1
"2010japan","rkubica",91.428,2
"2010japan","falonso",91.354,1.033
"2010japan","jbutton",91.366,1.578
"2010japan","nrosberg",91.481,2
"2010japan","rbarrichello",91.496,2
"2010japan","lhamilton",91.164,1.078
"2010japan","nhulkenberg",91.524,2.167
"2010japan","jdambrosio",NA,0
"2010korea","svettel",95.585,1
"2010korea","rbarrichello",97.152,2
"2010korea","nhulkenberg",97.414,1.133
"2010korea","kkobayashi",97.558,1.733
"2010korea","nheidfeld",97.493,1.611
"2010korea","asutil",97.634,1.244
"2010korea","jalguersuari",97.762,2
"2010korea","sbuemi",98.152,2
"2010korea","vliuzzi",98.249,1
"2010korea","jtrulli",99.815,1
"2010korea","tglock",100.042,1
"2010korea","mwebber",95.659,1
"2010korea","vpetrov",97.555,1.444
"2010korea","hkovalainen",101.062,1
"2010korea","ldigrassi",101.619,1
"2010korea","syamamoto",101.738,1
"2010korea","bsenna",102.577,1
"2010korea","falonso",95.779,1.044
"2010korea","lhamilton",96.051,1.178
"2010korea","nrosberg",96.56,2
"2010korea","fmassa",96.307,1.767
"2010korea","jbutton",96.778,1.578
"2010korea","rkubica",96.899,2
"2010korea","mschumacher",96.911,2
"2010korea","jdambrosio",NA,0
"2010brazil","nhulkenberg",NA,0
"2010brazil","vpetrov",NA,0
"2010brazil","jbutton",NA,0
"2010brazil","kkobayashi",NA,0
"2010brazil","nrosberg",NA,0
"2010brazil","jalguersuari",NA,0
"2010brazil","nheidfeld",NA,0
"2010brazil","vliuzzi",NA,0
"2010brazil","tglock",NA,0
"2010brazil","jtrulli",NA,0
"2010brazil","sbuemi",NA,0
"2010brazil","svettel",NA,0
"2010brazil","hkovalainen",NA,0
"2010brazil","ldigrassi",NA,0
"2010brazil","asutil",NA,0
"2010brazil","cklien",NA,0
"2010brazil","bsenna",NA,0
"2010brazil","mwebber",NA,0
"2010brazil","lhamilton",NA,0
"2010brazil","falonso",NA,0
"2010brazil","rbarrichello",NA,0
"2010brazil","rkubica",NA,0
"2010brazil","mschumacher",NA,0
"2010brazil","fmassa",NA,0
"2010brazil","jdambrosio",NA,0
"2010abudhabi","svettel",99.394,1
"2010abudhabi","vpetrov",100.823,2.422
"2010abudhabi","rkubica",100.821,1
"2010abudhabi","kkobayashi",100.874,1.6
"2010abudhabi","asutil",101.027,1.2
"2010abudhabi","nheidfeld",101.212,1.533
"2010abudhabi","nhulkenberg",101.354,1.244
"2010abudhabi","vliuzzi",101.638,2
"2010abudhabi","jalguersuari",101.699,2
"2010abudhabi","sbuemi",101.735,1
"2010abudhabi","jtrulli",103.427,1
"2010abudhabi","lhamilton",99.433,1.011
"2010abudhabi","hkovalainen",103.623,1
"2010abudhabi","tglock",104.006,1
"2010abudhabi","ldigrassi",104.421,1
"2010abudhabi","bsenna",104.996,1
"2010abudhabi","cklien",105.207,1
"2010abudhabi","falonso",99.804,1.022
"2010abudhabi","jbutton",99.91,1.6
"2010abudhabi","mwebber",99.925,1
"2010abudhabi","fmassa",100.268,1.689
"2010abudhabi","rbarrichello",100.36,2
"2010abudhabi","mschumacher",100.508,2.011
"2010abudhabi","nrosberg",100.345,2
"2010abudhabi","ffauzy",NA,0
"2011australia","svettel",83.529,1
"2011australia","sbuemi",86.552,3
"2011australia","mschumacher",86.23,1
"2011australia","jalguersuari",86.6,2
"2011australia","sperez",86.242,1.589
"2011australia","pdiresta",87.129,1.422
"2011australia","pmaldonado",86.771,2
"2011australia","asutil",86.463,0.222
"2011australia","rbarrichello",86.488,0.778
"2011australia","nheidfeld",87.457,0.267
"2011australia","hkovalainen",89.472,1
"2011australia","lhamilton",84.307,1
"2011australia","jtrulli",89.56,1
"2011australia","tglock",90.076,1
"2011australia","jdambrosio",91.04,1
"2011australia","vliuzzi",93.196,1
"2011australia","nkarthikeyan",94.511,1
"2011australia","mwebber",84.395,1
"2011australia","jbutton",84.779,1
"2011australia","falonso",84.974,1
"2011australia","vpetrov",85.544,2
"2011australia","nrosberg",85.54,1.367
"2011australia","fmassa",85.621,1.089
"2011australia","kkobayashi",85.702,2.489
"2011australia","nhulkenberg",NA,0
"2011australia","dricciardo",NA,0
"2011australia","kchandhok",NA,0
"2011malaysia","svettel",94.87,1
"2011malaysia","kkobayashi",96.651,2.378
"2011malaysia","mschumacher",96.905,1
"2011malaysia","sbuemi",97.084,2
"2011malaysia","jalguersuari",97.17,2
"2011malaysia","pdiresta",97.308,1.367
"2011malaysia","rbarrichello",97.475,1.811
"2011malaysia","sperez",97.32,1.678
"2011malaysia","asutil",97.407,1.211
"2011malaysia","pmaldonado",97.721,1
"2011malaysia","hkovalainen",98.09,1
"2011malaysia","lhamilton",94.974,1
"2011malaysia","jtrulli",98.236,1
"2011malaysia","tglock",100.093,1
"2011malaysia","jdambrosio",100.446,1
"2011malaysia","vliuzzi",100.994,1
"2011malaysia","nkarthikeyan",102.019,1
"2011malaysia","mwebber",95.179,1
"2011malaysia","jbutton",95.2,1
"2011malaysia","falonso",95.802,1
"2011malaysia","nheidfeld",96.419,2.133
"2011malaysia","fmassa",96.284,1.233
"2011malaysia","vpetrov",96.418,2
"2011malaysia","nrosberg",96.555,1.856
"2011malaysia","nhulkenberg",NA,0
"2011malaysia","dricciardo",NA,0
"2011malaysia","dvalsecchi",NA,0
"2011china","svettel",93.706,1
"2011china","vpetrov",95.195,1
"2011china","asutil",95.96,1.122
"2011china","sperez",96.152,1.6
"2011china","kkobayashi",96.302,1.5
"2011china","mschumacher",96.503,1
"2011china","rbarrichello",96.331,1.8
"2011china","nheidfeld",96.523,1.322
"2011china","pmaldonado",96.659,2
"2011china","mwebber",NA,0
"2011china","hkovalainen",98.089,1
"2011china","jbutton",94.421,1
"2011china","jtrulli",98.513,1
"2011china","jdambrosio",99.314,1
"2011china","tglock",99.903,1
"2011china","vliuzzi",100.407,1
"2011china","nkarthikeyan",100.64,1
"2011china","lhamilton",94.463,1
"2011china","nrosberg",95.113,1.567
"2011china","falonso",95.119,1
"2011china","fmassa",95.176,1.1
"2011china","jalguersuari",96.032,3
"2011china","pdiresta",96.027,2.311
"2011china","sbuemi",96.018,3
"2011china","nhulkenberg",NA,0
"2011china","dricciardo",NA,0
"2011china","lrazia",NA,0
"2011turkey","svettel",85.049,1
"2011turkey","fmassa",86.362,0.222
"2011turkey","rbarrichello",86.731,1
"2011turkey","asutil",86.994,1
"2011turkey","pdiresta",87.112,1
"2011turkey","pmaldonado",87.203,1
"2011turkey","sperez",87.211,1
"2011turkey","sbuemi",87.222,1
"2011turkey","jalguersuari",87.539,1.233
"2011turkey","hkovalainen",88.264,1
"2011turkey","jtrulli",89.157,1
"2011turkey","mwebber",85.454,1
"2011turkey","vliuzzi",90.176,1
"2011turkey","tglock",90.297,1
"2011turkey","nkarthikeyan",91.048,1
"2011turkey","jdambrosio",89.929,1
"2011turkey","kkobayashi",NA,0
"2011turkey","nrosberg",85.666,1.911
"2011turkey","lhamilton",85.595,1
"2011turkey","falonso",85.851,1
"2011turkey","jbutton",85.982,1
"2011turkey","vpetrov",86.459,2
"2011turkey","mschumacher",86.367,2
"2011turkey","nheidfeld",86.683,2
"2011turkey","nhulkenberg",NA,0
"2011turkey","dricciardo",NA,0
"2011turkey","kchandhok",NA,0
"2011spain","mwebber",80.981,1
"2011spain","mschumacher",82.512,1
"2011spain","sbuemi",83.072,1
"2011spain","sperez",83.208,1
"2011spain","jalguersuari",83.535,1
"2011spain","kkobayashi",83.543,1
"2011spain","hkovalainen",85.244,2
"2011spain","pdiresta",NA,0
"2011spain","asutil",NA,0
"2011spain","jtrulli",85.891,1
"2011spain","rbarrichello",NA,0
"2011spain","svettel",81.181,1
"2011spain","tglock",86.685,1
"2011spain","vliuzzi",87.179,1
"2011spain","nkarthikeyan",87.278,1
"2011spain","jdambrosio",87.926,1
"2011spain","nheidfeld",NA,0
"2011spain","lhamilton",81.961,1
"2011spain","falonso",81.964,1
"2011spain","jbutton",81.996,1
"2011spain","vpetrov",82.63,2
"2011spain","nrosberg",82.569,1.189
"2011spain","fmassa",82.888,1
"2011spain","pmaldonado",82.823,2
"2011spain","nhulkenberg",NA,0
"2011spain","dricciardo",NA,0
"2011monaco","svettel",73.556,1
"2011monaco","vpetrov",76.407,1
"2011monaco","rbarrichello",76.667,1.722
"2011monaco","kkobayashi",76.623,1.622
"2011monaco","pdiresta",76.738,1.1
"2011monaco","asutil",76.717,1.056
"2011monaco","nheidfeld",76.816,1.144
"2011monaco","sbuemi",76.727,2
"2011monaco","hkovalainen",77.548,1
"2011monaco","jtrulli",77.586,1
"2011monaco","jalguersuari",78.025,1
"2011monaco","jbutton",73.997,1
"2011monaco","tglock",78.119,1
"2011monaco","jdambrosio",78.941,1
"2011monaco","nkarthikeyan",NA,0
"2011monaco","vliuzzi",NA,0
"2011monaco","mwebber",74.019,1
"2011monaco","falonso",74.483,1
"2011monaco","mschumacher",75.127,2
"2011monaco","fmassa",74.926,1.156
"2011monaco","nrosberg",75.57,1.822
"2011monaco","pmaldonado",76.229,3
"2011monaco","lhamilton",NA,0
"2011monaco","sperez",76.093,1.656
"2011monaco","dricciardo",NA,0
"2011canada","svettel",73.014,1
"2011canada","vpetrov",74.07,2
"2011canada","pdiresta",74.441,1.033
"2011canada","pmaldonado",74.763,1.456
"2011canada","kkobayashi",74.977,1.144
"2011canada","asutil",74.988,1
"2011canada","sbuemi",75.077,2
"2011canada","rbarrichello",74.934,1.333
"2011canada","pdelarosa",75.368,2
"2011canada","jalguersuari",75.513,1
"2011canada","jtrulli",75.964,1
"2011canada","falonso",73.199,1
"2011canada","hkovalainen",76.005,1
"2011canada","vliuzzi",77.643,1
"2011canada","tglock",77.756,1
"2011canada","nkarthikeyan",77.793,1
"2011canada","jdambrosio",78.633,1
"2011canada","fmassa",73.216,1.011
"2011canada","mwebber",73.429,1
"2011canada","lhamilton",73.565,1
"2011canada","nrosberg",73.735,1.944
"2011canada","jbutton",73.838,1
"2011canada","mschumacher",73.903,2
"2011canada","nheidfeld",74.118,2.033
"2011canada","nhulkenberg",NA,0
"2011canada","sperez",NA,0
"2011canada","dricciardo",NA,0
"2011europe","svettel",96.975,1
"2011europe","asutil",98.846,1
"2011europe","vpetrov",98.88,1
"2011europe","pdiresta",99.267,1.156
"2011europe","rbarrichello",99.269,1.867
"2011europe","kkobayashi",99.505,1.656
"2011europe","pmaldonado",99.391,1.922
"2011europe","sperez",99.341,1.589
"2011europe","sbuemi",99.416,2
"2011europe","jalguersuari",99.862,1
"2011europe","hkovalainen",101.294,1
"2011europe","mwebber",97.163,1
"2011europe","jtrulli",101.864,1
"2011europe","tglock",102.183,1
"2011europe","vliuzzi",103.214,1
"2011europe","jdambrosio",103.365,1
"2011europe","nkarthikeyan",103.993,1
"2011europe","lhamilton",97.38,1
"2011europe","falonso",97.454,1
"2011europe","fmassa",97.588,1.067
"2011europe","jbutton",97.645,1
"2011europe","nrosberg",98.21,1.844
"2011europe","mschumacher",98.208,2
"2011europe","nheidfeld",98.723,1.167
"2011europe","nhulkenberg",NA,0
"2011europe","dricciardo",NA,0
"2011europe","kchandhok",NA,0
"2011greatbritain","mwebber",90.399,1
"2011greatbritain","lhamilton",92.376,1
"2011greatbritain","asutil",92.149,1
"2011greatbritain","sperez",92.422,1.6
"2011greatbritain","mschumacher",92.188,1
"2011greatbritain","vpetrov",92.266,1
"2011greatbritain","rbarrichello",92.48,1.756
"2011greatbritain","nheidfeld",93.41,1.167
"2011greatbritain","hkovalainen",93.998,2
"2011greatbritain","jalguersuari",93.966,1
"2011greatbritain","sbuemi",94.47,1
"2011greatbritain","svettel",90.431,1
"2011greatbritain","tglock",94.924,1
"2011greatbritain","jtrulli",95.177,1
"2011greatbritain","jdambrosio",95.875,1
"2011greatbritain","vliuzzi",96.205,1
"2011greatbritain","dricciardo",96.78,1
"2011greatbritain","falonso",90.516,1
"2011greatbritain","fmassa",91.126,1.044
"2011greatbritain","jbutton",91.898,1
"2011greatbritain","pdiresta",92.059,2.078
"2011greatbritain","pmaldonado",91.861,2.756
"2011greatbritain","kkobayashi",92.243,2.533
"2011greatbritain","nrosberg",92.034,1.844
"2011greatbritain","nhulkenberg",NA,0
"2011greatbritain","kchandhok",NA,0
"2011germany","mwebber",90.079,1
"2011germany","mschumacher",92.406,2
"2011germany","nheidfeld",92.369,1.067
"2011germany","pdiresta",92.693,1.144
"2011germany","pmaldonado",92.856,1.933
"2011germany","rbarrichello",93.376,1.844
"2011germany","sperez",93.278,1.889
"2011germany","jalguersuari",93.718,2
"2011germany","kkobayashi",93.716,0.622
"2011germany","hkovalainen",95.529,1
"2011germany","tglock",96.33,1
"2011germany","lhamilton",90.134,1
"2011germany","kchandhok",96.352,1
"2011germany","jdambrosio",96.571,1
"2011germany","dricciardo",96.966,1
"2011germany","vliuzzi",96.941,1
"2011germany","sbuemi",93.63,2
"2011germany","svettel",90.216,1
"2011germany","falonso",90.442,1
"2011germany","fmassa",90.937,1.033
"2011germany","nrosberg",91.364,1.789
"2011germany","jbutton",91.288,1
