"racename","driver","anycarproblem","confidentcarproblem"
"2010germany","kkobayashi",0,1
"2010germany","vpetrov",0,1
"2010germany","pdelarosa",0,1
"2010germany","jalguersuari",0,1
"2010germany","sbuemi",0,1
"2010germany","jtrulli",0,1
"2010germany","hkovalainen",0,1
"2010germany","asutil",0,1
"2010germany","falonso",0,1
"2010germany","bsenna",0,1
"2010germany","vliuzzi",0,1
"2010germany","syamamoto",0,1
"2010germany","tglock",0,1
"2010germany","ldigrassi",1,1
"2010germany","fmassa",0,1
"2010germany","mwebber",0,1
"2010germany","jbutton",0,1
"2010germany","lhamilton",0,1
"2010germany","rkubica",0,1
"2010germany","rbarrichello",0,1
"2010germany","nrosberg",0,1
"2010germany","ffauzy",0,1
"2010hungary","svettel",0,1
"2010hungary","nhulkenberg",0,1
"2010hungary","jbutton",0,1
"2010hungary","rbarrichello",0,1
"2010hungary","asutil",0,1
"2010hungary","mschumacher",0,1
"2010hungary","sbuemi",0,1
"2010hungary","vliuzzi",0,1
"2010hungary","jalguersuari",0,1
"2010hungary","tglock",0,1
"2010hungary","hkovalainen",0,1
"2010hungary","mwebber",0,1
"2010hungary","jtrulli",0,1
"2010hungary","ldigrassi",0,1
"2010hungary","bsenna",0,1
"2010hungary","kkobayashi",0,1
"2010hungary","syamamoto",0,1
"2010hungary","falonso",0,1
"2010hungary","fmassa",0,1
"2010hungary","lhamilton",0,1
"2010hungary","nrosberg",0,1
"2010hungary","vpetrov",0,1
"2010hungary","rkubica",0,1
"2010hungary","pdelarosa",0,1
"2010hungary","pdiresta",0,1
"2010belgium","mwebber",0,1
"2010belgium","falonso",0,1
"2010belgium","jalguersuari",0,1
"2010belgium","vliuzzi",0,1
"2010belgium","hkovalainen",0,1
"2010belgium","nrosberg",0,1
"2010belgium","jtrulli",0,1
"2010belgium","sbuemi",0,1
"2010belgium","kkobayashi",0,1
"2010belgium","bsenna",1,1
"2010belgium","syamamoto",0,1
"2010belgium","lhamilton",0,1
"2010belgium","tglock",0,1
"2010belgium","mschumacher",0,1
"2010belgium","ldigrassi",0,1
"2010belgium","vpetrov",0,1
"2010belgium","pdelarosa",0,1
"2010belgium","rkubica",0,1
"2010belgium","svettel",0,1
"2010belgium","jbutton",0,1
"2010belgium","fmassa",0,1
"2010belgium","rbarrichello",0,1
"2010belgium","asutil",0,1
"2010belgium","nhulkenberg",0,1
"2010italy","falonso",0,1
"2010italy","rbarrichello",0,1
"2010italy","asutil",0,1
"2010italy","mschumacher",0,1
"2010italy","kkobayashi",0,1
"2010italy","sbuemi",0,1
"2010italy","jalguersuari",0,1
"2010italy","pdelarosa",0,1
"2010italy","jtrulli",0,1
"2010italy","hkovalainen",0,1
"2010italy","vliuzzi",0,1
"2010italy","jbutton",0,1
"2010italy","vpetrov",0,1
"2010italy","ldigrassi",0,1
"2010italy","bsenna",0,1
"2010italy","syamamoto",0,1
"2010italy","tglock",0,1
"2010italy","fmassa",0,1
"2010italy","mwebber",0,1
"2010italy","lhamilton",0,1
"2010italy","svettel",0,1
"2010italy","nrosberg",0,1
"2010italy","nhulkenberg",0,1
"2010italy","rkubica",0,1
"2010italy","pdiresta",0,1
"2010singapore","falonso",0,1
"2010singapore","kkobayashi",0,1
"2010singapore","jalguersuari",0,1
"2010singapore","vpetrov",0,1
"2010singapore","sbuemi",1,1
"2010singapore","nheidfeld",1,1
"2010singapore","asutil",0,1
"2010singapore","vliuzzi",0,1
"2010singapore","nhulkenberg",0,1
"2010singapore","tglock",1,1
"2010singapore","hkovalainen",0,1
"2010singapore","svettel",0,1
"2010singapore","ldigrassi",0,1
"2010singapore","jtrulli",0,1
"2010singapore","cklien",0,1
"2010singapore","bsenna",0,1
"2010singapore","fmassa",0,1
"2010singapore","lhamilton",0,1
"2010singapore","jbutton",0,1
"2010singapore","mwebber",0,1
"2010singapore","rbarrichello",0,1
"2010singapore","nrosberg",0,1
"2010singapore","rkubica",0,1
"2010singapore","mschumacher",0,1
"2010singapore","jdambrosio",0,1
"2010singapore","ffauzy",0,1
"2010japan","svettel",0,1
"2010japan","mschumacher",0,1
"2010japan","nheidfeld",0,1
"2010japan","fmassa",0,1
"2010japan","vpetrov",0,1
"2010japan","kkobayashi",0,1
"2010japan","asutil",0,1
"2010japan","jalguersuari",0,1
"2010japan","vliuzzi",0,1
"2010japan","sbuemi",0,1
"2010japan","jtrulli",1,1
"2010japan","mwebber",0,1
"2010japan","hkovalainen",0,1
"2010japan","ldigrassi",0,1
"2010japan","tglock",0,1
"2010japan","bsenna",0,1
"2010japan","syamamoto",0,1
"2010japan","rkubica",0,1
"2010japan","falonso",0,1
"2010japan","jbutton",0,1
"2010japan","nrosberg",0,1
"2010japan","rbarrichello",0,1
"2010japan","lhamilton",1,1
"2010japan","nhulkenberg",0,1
"2010japan","jdambrosio",0,1
"2010korea","svettel",0,1
"2010korea","rbarrichello",0,1
"2010korea","nhulkenberg",0,1
"2010korea","kkobayashi",0,1
"2010korea","nheidfeld",0,1
"2010korea","asutil",0,1
"2010korea","jalguersuari",0,1
"2010korea","sbuemi",0,1
"2010korea","vliuzzi",0,1
"2010korea","jtrulli",0,1
"2010korea","tglock",0,1
"2010korea","mwebber",0,1
"2010korea","vpetrov",0,1
"2010korea","hkovalainen",0,1
"2010korea","ldigrassi",0,1
"2010korea","syamamoto",0,1
"2010korea","bsenna",0,1
"2010korea","falonso",0,1
"2010korea","lhamilton",0,1
"2010korea","nrosberg",0,1
"2010korea","fmassa",0,1
"2010korea","jbutton",0,1
"2010korea","rkubica",0,1
"2010korea","mschumacher",0,1
"2010korea","jdambrosio",0,1
"2010brazil","nhulkenberg",0,1
"2010brazil","vpetrov",0,1
"2010brazil","jbutton",0,1
"2010brazil","kkobayashi",0,1
"2010brazil","nrosberg",0,1
"2010brazil","jalguersuari",0,1
"2010brazil","nheidfeld",0,1
"2010brazil","vliuzzi",0,1
"2010brazil","tglock",0,1
"2010brazil","jtrulli",0,1
"2010brazil","sbuemi",0,1
"2010brazil","svettel",0,1
"2010brazil","hkovalainen",0,1
"2010brazil","ldigrassi",1,1
"2010brazil","asutil",0,1
"2010brazil","cklien",0,1
"2010brazil","bsenna",0,1
"2010brazil","mwebber",0,1
"2010brazil","lhamilton",0,1
"2010brazil","falonso",0,1
"2010brazil","rbarrichello",0,1
"2010brazil","rkubica",0,1
"2010brazil","mschumacher",0,1
"2010brazil","fmassa",0,1
"2010brazil","jdambrosio",0,1
"2010abudhabi","svettel",0,1
"2010abudhabi","vpetrov",0,1
"2010abudhabi","rkubica",0,1
"2010abudhabi","kkobayashi",0,1
"2010abudhabi","asutil",0,1
"2010abudhabi","nheidfeld",0,1
"2010abudhabi","nhulkenberg",0,1
"2010abudhabi","vliuzzi",0,1
"2010abudhabi","jalguersuari",0,1
"2010abudhabi","sbuemi",0,1
"2010abudhabi","jtrulli",0,1
"2010abudhabi","lhamilton",0,1
"2010abudhabi","hkovalainen",0,1
"2010abudhabi","tglock",0,1
"2010abudhabi","ldigrassi",0,1
"2010abudhabi","bsenna",0,1
"2010abudhabi","cklien",0,1
"2010abudhabi","falonso",0,1
"2010abudhabi","jbutton",0,1
"2010abudhabi","mwebber",0,1
"2010abudhabi","fmassa",0,1
"2010abudhabi","rbarrichello",0,1
"2010abudhabi","mschumacher",0,1
"2010abudhabi","nrosberg",0,1
"2010abudhabi","ffauzy",0,1
"2011australia","svettel",0,1
"2011australia","sbuemi",0,1
"2011australia","mschumacher",1,1
"2011australia","jalguersuari",0,1
"2011australia","sperez",0,1
"2011australia","pdiresta",0,1
"2011australia","pmaldonado",0,1
"2011australia","asutil",0,1
"2011australia","rbarrichello",0,1
"2011australia","nheidfeld",0,1
"2011australia","hkovalainen",0,1
"2011australia","lhamilton",0,1
"2011australia","jtrulli",0,1
"2011australia","tglock",0,1
"2011australia","jdambrosio",0,1
"2011australia","vliuzzi",0,1
"2011australia","nkarthikeyan",0,1
"2011australia","mwebber",0,1
"2011australia","jbutton",0,1
"2011australia","falonso",0,1
"2011australia","vpetrov",0,1
"2011australia","nrosberg",0,1
"2011australia","fmassa",0,1
"2011australia","kkobayashi",0,1
"2011australia","nhulkenberg",0,1
"2011australia","dricciardo",0,1
"2011australia","kchandhok",0,1
"2011malaysia","svettel",0,1
"2011malaysia","kkobayashi",0,1
"2011malaysia","mschumacher",0,1
"2011malaysia","sbuemi",0,1
"2011malaysia","jalguersuari",0,1
"2011malaysia","pdiresta",0,1
"2011malaysia","rbarrichello",0,1
"2011malaysia","sperez",0,1
"2011malaysia","asutil",0,1
"2011malaysia","pmaldonado",0,1
"2011malaysia","hkovalainen",0,1
"2011malaysia","lhamilton",0,1
"2011malaysia","jtrulli",0,1
"2011malaysia","tglock",0,1
"2011malaysia","jdambrosio",0,1
"2011malaysia","vliuzzi",0,1
"2011malaysia","nkarthikeyan",0,1
"2011malaysia","mwebber",0,1
"2011malaysia","jbutton",0,1
"2011malaysia","falonso",0,1
"2011malaysia","nheidfeld",0,1
"2011malaysia","fmassa",0,1
"2011malaysia","vpetrov",0,1
"2011malaysia","nrosberg",0,1
"2011malaysia","nhulkenberg",0,1
"2011malaysia","dricciardo",0,1
"2011malaysia","dvalsecchi",0,1
"2011china","svettel",0,1
"2011china","vpetrov",0,1
"2011china","asutil",0,1
"2011china","sperez",0,1
"2011china","kkobayashi",0,1
"2011china","mschumacher",0,1
"2011china","rbarrichello",0,1
"2011china","nheidfeld",0,1
"2011china","pmaldonado",0,1
"2011china","mwebber",0,1
"2011china","hkovalainen",0,1
"2011china","jbutton",0,1
"2011china","jtrulli",0,1
"2011china","jdambrosio",0,1
"2011china","tglock",0,1
"2011china","vliuzzi",0,1
"2011china","nkarthikeyan",0,1
"2011china","lhamilton",0,1
"2011china","nrosberg",0,1
"2011china","falonso",0,1
"2011china","fmassa",0,1
"2011china","jalguersuari",0,1
"2011china","pdiresta",0,1
"2011china","sbuemi",0,1
"2011china","nhulkenberg",0,1
"2011china","dricciardo",0,1
"2011china","lrazia",0,1
"2011turkey","svettel",0,1
"2011turkey","fmassa",0,1
"2011turkey","rbarrichello",0,1
"2011turkey","asutil",0,1
"2011turkey","pdiresta",0,1
"2011turkey","pmaldonado",0,1
"2011turkey","sperez",0,1
"2011turkey","sbuemi",0,1
"2011turkey","jalguersuari",0,1
"2011turkey","hkovalainen",0,1
"2011turkey","jtrulli",0,1
"2011turkey","mwebber",0,1
"2011turkey","vliuzzi",0,1
"2011turkey","tglock",0,1
"2011turkey","nkarthikeyan",0,1
"2011turkey","jdambrosio",0,1
"2011turkey","kkobayashi",0,1
"2011turkey","nrosberg",0,1
"2011turkey","lhamilton",0,1
"2011turkey","falonso",0,1
"2011turkey","jbutton",0,1
"2011turkey","vpetrov",0,1
"2011turkey","mschumacher",0,1
"2011turkey","nheidfeld",0,1
"2011turkey","nhulkenberg",0,1
"2011turkey","dricciardo",0,1
"2011turkey","kchandhok",0,1
"2011spain","mwebber",0,1
"2011spain","mschumacher",0,1
"2011spain","sbuemi",0,1
"2011spain","sperez",0,1
"2011spain","jalguersuari",0,1
"2011spain","kkobayashi",0,1
"2011spain","hkovalainen",0,1
"2011spain","pdiresta",0,1
"2011spain","asutil",0,1
"2011spain","jtrulli",0,1
"2011spain","rbarrichello",0,1
"2011spain","svettel",0,1
"2011spain","tglock",0,1
"2011spain","vliuzzi",0,1
"2011spain","nkarthikeyan",0,1
"2011spain","jdambrosio",0,1
"2011spain","nheidfeld",0,1
"2011spain","lhamilton",0,1
"2011spain","falonso",0,1
"2011spain","jbutton",0,1
"2011spain","vpetrov",0,1
"2011spain","nrosberg",0,1
"2011spain","fmassa",0,1
"2011spain","pmaldonado",0,1
"2011spain","nhulkenberg",0,1
"2011spain","dricciardo",0,1
"2011monaco","svettel",0,1
"2011monaco","vpetrov",0,1
"2011monaco","rbarrichello",0,1
"2011monaco","kkobayashi",0,1
"2011monaco","pdiresta",0,1
"2011monaco","asutil",0,1
"2011monaco","nheidfeld",0,1
"2011monaco","sbuemi",0,1
"2011monaco","hkovalainen",0,1
"2011monaco","jtrulli",0,1
"2011monaco","jalguersuari",0,1
"2011monaco","jbutton",0,1
"2011monaco","tglock",0,1
"2011monaco","jdambrosio",0,1
"2011monaco","nkarthikeyan",0,1
"2011monaco","vliuzzi",0,1
"2011monaco","mwebber",0,1
"2011monaco","falonso",0,1
"2011monaco","mschumacher",0,1
"2011monaco","fmassa",0,1
"2011monaco","nrosberg",0,1
"2011monaco","pmaldonado",0,1
"2011monaco","lhamilton",0,1
"2011monaco","sperez",0,1
"2011monaco","dricciardo",0,1
"2011canada","svettel",0,1
"2011canada","vpetrov",0,1
"2011canada","pdiresta",0,1
"2011canada","pmaldonado",0,1
"2011canada","kkobayashi",0,1
"2011canada","asutil",0,1
"2011canada","sbuemi",0,1
"2011canada","rbarrichello",0,1
"2011canada","pdelarosa",0,1
"2011canada","jalguersuari",0,1
"2011canada","jtrulli",0,1
"2011canada","falonso",0,1
"2011canada","hkovalainen",0,1
"2011canada","vliuzzi",0,1
"2011canada","tglock",0,1
"2011canada","nkarthikeyan",0,1
"2011canada","jdambrosio",0,1
"2011canada","fmassa",0,1
"2011canada","mwebber",0,1
"2011canada","lhamilton",0,1
"2011canada","nrosberg",0,1
"2011canada","jbutton",0,1
"2011canada","mschumacher",0,1
"2011canada","nheidfeld",0,1
"2011canada","nhulkenberg",0,1
"2011canada","sperez",0,1
"2011canada","dricciardo",0,1
"2011europe","svettel",0,1
"2011europe","asutil",0,1
"2011europe","vpetrov",0,1
"2011europe","pdiresta",0,1
"2011europe","rbarrichello",0,1
"2011europe","kkobayashi",0,1
"2011europe","pmaldonado",0,1
"2011europe","sperez",0,1
"2011europe","sbuemi",0,1
"2011europe","jalguersuari",0,1
"2011europe","hkovalainen",0,1
"2011europe","mwebber",1,1
"2011europe","jtrulli",0,1
"2011europe","tglock",0,1
"2011europe","vliuzzi",0,1
"2011europe","jdambrosio",0,1
"2011europe","nkarthikeyan",0,1
"2011europe","lhamilton",0,1
"2011europe","falonso",0,1
"2011europe","fmassa",0,1
"2011europe","jbutton",0,1
"2011europe","nrosberg",0,1
"2011europe","mschumacher",0,1
"2011europe","nheidfeld",0,1
"2011europe","nhulkenberg",0,1
"2011europe","dricciardo",0,1
"2011europe","kchandhok",0,1
"2011greatbritain","mwebber",0,1
"2011greatbritain","lhamilton",0,1
"2011greatbritain","asutil",0,1
"2011greatbritain","sperez",0,1
"2011greatbritain","mschumacher",0,1
"2011greatbritain","vpetrov",0,1
"2011greatbritain","rbarrichello",0,1
"2011greatbritain","nheidfeld",0,1
"2011greatbritain","hkovalainen",0,1
"2011greatbritain","jalguersuari",0,1
"2011greatbritain","sbuemi",0,1
"2011greatbritain","svettel",0,1
"2011greatbritain","tglock",0,1
"2011greatbritain","jtrulli",0,1
"2011greatbritain","jdambrosio",0,1
"2011greatbritain","vliuzzi",0,1
"2011greatbritain","dricciardo",0,1
"2011greatbritain","falonso",0,1
"2011greatbritain","fmassa",0,1
"2011greatbritain","jbutton",0,1
"2011greatbritain","pdiresta",0,1
"2011greatbritain","pmaldonado",0,1
"2011greatbritain","kkobayashi",0,1
"2011greatbritain","nrosberg",0,1
"2011greatbritain","nhulkenberg",0,1
"2011greatbritain","kchandhok",0,1
"2011germany","mwebber",0,1
"2011germany","mschumacher",0,1
"2011germany","nheidfeld",0,1
"2011germany","pdiresta",0,1
"2011germany","pmaldonado",0,1
"2011germany","rbarrichello",0,1
"2011germany","sperez",0,1
"2011germany","jalguersuari",0,1
"2011germany","kkobayashi",0,1
"2011germany","hkovalainen",0,1
"2011germany","tglock",0,1
"2011germany","lhamilton",0,1
"2011germany","kchandhok",0,1
"2011germany","jdambrosio",0,1
"2011germany","dricciardo",0,1
"2011germany","vliuzzi",0,1
"2011germany","sbuemi",0,1
"2011germany","svettel",0,1
"2011germany","falonso",0,1
"2011germany","fmassa",0,1
"2011germany","nrosberg",0,1
"2011germany","jbutton",0,1
"2011germany","asutil",0,1
"2011germany","vpetrov",0,1
"2011germany","nhulkenberg",0,1
"2011germany","nkarthikeyan",0,1
"2011hungary","svettel",0,1
"2011hungary","sperez",0,1
"2011hungary","pdiresta",0,1
"2011hungary","vpetrov",0,1
"2011hungary","kkobayashi",0,1
"2011hungary","nheidfeld",0,1
"2011hungary","rbarrichello",0,1
"2011hungary","jalguersuari",0,1
"2011hungary","pmaldonado",0,1
"2011hungary","hkovalainen",0,1
"2011hungary","jtrulli",0,1
"2011hungary","lhamilton",0,1
"2011hungary","tglock",0,1
"2011hungary","vliuzzi",0,1
"2011hungary","dricciardo",0,1
"2011hungary","sbuemi",0,1
"2011hungary","jdambrosio",0,1
"2011hungary","jbutton",0,1
"2011hungary","fmassa",0,1
"2011hungary","falonso",0,1
"2011hungary","mwebber",0,1
"2011hungary","nrosberg",0,1
"2011hungary","asutil",0,1
"2011hungary","mschumacher",0,1
"2011hungary","nhulkenberg",0,1
"2011hungary","bsenna",0,1
"2011belgium","svettel",0,1
"2011belgium","vpetrov",0,1
"2011belgium","sbuemi",0,1
"2011belgium","kkobayashi",0,1
"2011belgium","jbutton",0,1
"2011belgium","rbarrichello",0,1
"2011belgium","asutil",0,1
"2011belgium","hkovalainen",0,1
"2011belgium","pdiresta",0,1
"2011belgium","jtrulli",0,1
"2011belgium","tglock",0,1
"2011belgium","lhamilton",0,1
"2011belgium","jdambrosio",0,1
"2011belgium","pmaldonado",0,1
"2011belgium","vliuzzi",0,1
"2011belgium","dricciardo",0,1
"2011belgium","mschumacher",0,1
"2011belgium","mwebber",0,1
"2011belgium","fmassa",0,1
"2011belgium","nrosberg",0,1
"2011belgium","jalguersuari",0,1
"2011belgium","bsenna",0,1
"2011belgium","falonso",0,1
"2011belgium","sperez",0,1
"2011belgium","nhulkenberg",0,1
"2011belgium","kchandhok",0,1
"2011italy","svettel",0,1
"2011italy","bsenna",0,1
"2011italy","pdiresta",0,1
"2011italy","asutil",0,1
"2011italy","rbarrichello",0,1
"2011italy","pmaldonado",0,1
"2011italy","sperez",0,1
"2011italy","sbuemi",0,1
"2011italy","kkobayashi",0,1
"2011italy","jalguersuari",0,1
"2011italy","jtrulli",0,1
"2011italy","lhamilton",0,1
"2011italy","hkovalainen",0,1
"2011italy","tglock",0,1
"2011italy","jdambrosio",0,1
"2011italy","dricciardo",0,1
"2011italy","vliuzzi",0,1
"2011italy","jbutton",0,1
"2011italy","falonso",0,1
"2011italy","mwebber",0,1
"2011italy","fmassa",0,1
"2011italy","vpetrov",0,1
"2011italy","mschumacher",0,1
"2011italy","nrosberg",0,1
"2011italy","nhulkenberg",0,1
"2011italy","kchandhok",0,1
"2011singapore","svettel",0,1
"2011singapore","pdiresta",0,1
"2011singapore","sperez",0,1
"2011singapore","rbarrichello",0,1
"2011singapore","pmaldonado",0,1
"2011singapore","sbuemi",0,1
"2011singapore","bsenna",0,1
"2011singapore","jalguersuari",0,1
"2011singapore","kkobayashi",0,1
"2011singapore","vpetrov",0,1
"2011singapore","hkovalainen",0,1
"2011singapore","mwebber",0,1
"2011singapore","jtrulli",1,1
"2011singapore","tglock",0,1
"2011singapore","jdambrosio",0,1
"2011singapore","dricciardo",0,1
"2011singapore","vliuzzi",0,1
"2011singapore","jbutton",0,1
"2011singapore","lhamilton",0,1
"2011singapore","falonso",0,1
"2011singapore","fmassa",0,1
